SDN,,mgL_1,mgL_2,mgL_3,mgL_4,mgL_5,mgL_6,mgL_7,mgL_8,mgL_9,mgL_10,mgL_11,mgL_12,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,TC_9,TC_10,TC_11,TC_12,QF_DO_1,QF_DO_2,QF_DO_3,QF_DO_4,QF_DO_5,QF_DO_6,QF_DO_7,QF_DO_8,QF_DO_9,QF_DO_10,QF_DO_11,QF_DO_12,,QF_TC_1,QF_TC_2,QF_TC_3,QF_TC_4,QF_TC_5,QF_TC_6,QF_TC_7,QF_TC_8,QF_TC_9,QF_TC_10,QF_TC_11,QF_TC_12,,QF_DO2_1,QF_DO2_2,QF_DO2_3,QF_DO2_4,QF_DO2_5,QF_DO2_6,QF_DO2_7,QF_DO2_8,QF_DO2_9,QF_DO2_10,QF_DO2_11,QF_DO2_12
738197.9167,2/10/21 22:00,6.629663434,2.984652113,10.0343036,NaN,5.281854517,5.10501591,5.249261143,3.884174698,4.43213862,,,4.462612335,15.4,12.2,15.6,,18.9,9.7,18.1,12.1,18.2,,,9.7,1,4,1,,4,1,1,1,4,,,1,,1,4,1,,4,1,4,1,4,,,1,,0,0,0,,0,0,0,0,0,,,0
738197.9375,2/10/21 22:30,6.719853885,5.084952462,10.27790284,NaN,6.295018851,4.880082879,5.508826396,4.999172411,5.533669118,,,4.483441979,15.2,13.7,15.9,,21.1,9.5,18.9,13.2,20,,,9.7,1,4,1,,4,1,1,1,1,,,4,,1,1,1,,4,1,4,1,4,,,1,,0,0,0,,0,0,0,0,0,,,0
738197.9583,2/10/21 22:59,6.974991895,3.373883723,10.04272413,NaN,5.613382862,5.296208425,5.771686025,4.828722642,4.740578008,,,5.468525158,15,12.2,15.5,,19.6,9.6,19,12.4,18.2,,,9.5,1,1,1,,4,4,1,1,1,,,4,,1,1,1,,4,1,1,1,4,,,1,,0,0,0,,0,0,0,0,0,,,0
738197.9792,2/10/21 23:30,6.883437061,3.821627067,10.24665242,NaN,5.651212654,5.630348208,5.74388545,4.865747242,5.131661587,,,5.373735674,15.6,12.9,15.8,,19.1,9.7,18.4,12.5,18.5,,,9.7,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,4,1,1,1,4,,,1,,0,0,0,,0,0,0,0,0,,,0
738198,2/11/21 0:00,7.074219002,3.8296293,10.27431026,NaN,5.590401176,5.705091913,5.684116681,4.758806242,4.858015816,,,5.315013437,15.5,12.5,15.7,,19.4,9.7,18.9,12.6,18.8,,,9.7,1,4,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.0208,2/11/21 0:29,7.114694489,3.735969798,10.16430813,NaN,5.641430194,5.932479707,5.713235184,4.910973427,5.197340851,,,5.310664467,15.5,12.5,15.7,,19.4,9.5,18.8,12.7,18.8,,,9.6,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.0417,2/11/21 1:00,7.14221666,3.748280202,10.24886853,NaN,5.64203864,5.814895856,5.736519782,4.948981435,5.138060349,,,5.441447704,15.4,12.7,15.7,,19.5,9.5,18.9,12.7,18.8,,,9.8,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.0625,2/11/21 1:30,7.159473094,3.922398739,10.15313616,NaN,5.697184352,5.968623128,5.754582929,4.974439553,5.185578608,,,5.607652575,15.5,12.7,15.7,,19.5,9.6,19.1,12.7,19,,,9.7,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.0833,2/11/21 1:59,7.254591991,3.805848471,10.3296001,NaN,5.70569648,5.814456223,5.763113698,4.817956608,5.065647533,,,5.361706555,15.3,12.5,15.6,,19.7,9.7,19.2,12.5,18.9,,,9.7,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.1042,2/11/21 2:30,7.131318164,4.087811349,10.24376945,NaN,5.768453055,5.860993119,5.83845087,5.075096076,5.236149313,,,5.716773131,15.4,12.7,15.7,,19.6,9.7,19.1,12.4,19,,,9.6,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
