POP,TIMESTEP,SITE,TRT,pSurv,Ind,Deaths,AveInitialWt,WtStdev,WtSterr
S,60,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,61,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,62,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,63,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,64,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,65,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,66,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,67,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,68,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,69,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,70,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,71,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,72,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,73,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,74,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,75,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,76,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,77,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,78,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,79,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,80,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,81,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,82,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,83,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,1,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,2,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,3,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,4,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,5,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,6,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,7,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,8,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,9,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,10,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,11,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,12,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,13,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,14,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,15,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,16,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,17,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,18,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,19,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,20,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,21,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,22,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,23,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,24,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,25,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,26,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,27,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,28,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,29,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,30,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,31,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,32,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,33,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,34,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,35,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,36,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,37,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,38,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,39,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,40,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,41,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,42,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,43,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,44,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,45,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,46,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,47,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,48,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,49,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,50,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,51,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,52,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,53,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,54,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,55,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,56,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,57,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,58,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,59,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,60,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,61,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,62,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,63,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,64,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,65,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,66,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,67,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,68,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,69,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,70,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,71,WP,SC,100,12,0,21.703175,20.20849555,5.833690174
S,72,WP,SC,91.6666667,11,1,20.91056364,20.99830824,6.331228153
S,73,WP,SC,91.6666667,11,1,20.91056364,20.99830824,6.331228153
S,74,WP,SC,91.6666667,11,1,20.91056364,20.99830824,6.331228153
S,75,WP,SC,91.6666667,11,1,20.91056364,20.99830824,6.331228153
S,76,WP,SC,91.6666667,11,1,20.91056364,20.99830824,6.331228153
S,77,WP,SC,91.6666667,11,1,20.91056364,20.99830824,6.331228153
S,78,WP,SC,91.6666667,11,1,20.91056364,20.99830824,6.331228153
S,79,WP,SC,91.6666667,11,1,20.91056364,20.99830824,6.331228153
S,80,WP,SC,91.6666667,11,1,20.91056364,20.99830824,6.331228153
S,81,WP,SC,91.6666667,11,1,20.91056364,20.99830824,6.331228153
S,82,WP,SC,91.6666667,11,1,20.91056364,20.99830824,6.331228153
S,83,WP,SC,91.6666667,11,1,20.91056364,20.99830824,6.331228153
S,1,WP,SF,100,12,0,26.89741667,26.30755477,7.932026213
S,2,WP,SF,100,12,0,26.89741667,26.30755477,7.932026213
S,3,WP,SF,100,12,0,26.89741667,26.30755477,7.932026213
S,4,WP,SF,100,12,0,26.89741667,26.30755477,7.932026213
S,5,WP,SF,100,12,0,26.89741667,26.30755477,7.932026213
S,6,WP,SF,83.3333333,10,2,18.05126,15.76098099,4.984059809
S,7,WP,SF,83.3333333,10,2,18.05126,15.76098099,4.984059809
S,8,WP,SF,83.3333333,10,2,18.05126,15.76098099,4.984059809
S,9,WP,SF,83.3333333,10,2,18.05126,15.76098099,4.984059809
S,10,WP,SF,83.3333333,10,2,18.05126,15.76098099,4.984059809
S,11,WP,SF,83.3333333,10,2,18.05126,15.76098099,4.984059809
S,12,WP,SF,83.3333333,10,2,18.05126,15.76098099,4.984059809
S,13,WP,SF,83.3333333,10,2,18.05126,15.76098099,4.984059809
S,14,WP,SF,83.3333333,10,2,18.05126,15.76098099,4.984059809
S,15,WP,SF,83.3333333,10,2,18.05126,15.76098099,4.984059809
S,16,WP,SF,83.3333333,10,2,18.05126,15.76098099,4.984059809
S,17,WP,SF,83.3333333,10,2,18.05126,15.76098099,4.984059809
S,18,WP,SF,83.3333333,10,2,18.05126,15.76098099,4.984059809
S,19,WP,SF,83.3333333,10,2,18.05126,15.76098099,4.984059809
S,20,WP,SF,83.3333333,10,2,18.05126,15.76098099,4.984059809
S,21,WP,SF,83.3333333,10,2,18.05126,15.76098099,4.984059809
S,22,WP,SF,83.3333333,10,2,18.05126,15.76098099,4.984059809
S,23,WP,SF,83.3333333,10,2,18.05126,15.76098099,4.984059809
S,24,WP,SF,83.3333333,10,2,18.05126,15.76098099,4.984059809
S,25,WP,SF,83.3333333,10,2,18.05126,15.76098099,4.984059809
S,26,WP,SF,83.3333333,10,2,18.05126,15.76098099,4.984059809
S,27,WP,SF,83.3333333,10,2,18.05126,15.76098099,4.984059809
S,28,WP,SF,83.3333333,10,2,18.05126,15.76098099,4.984059809
S,29,WP,SF,83.3333333,10,2,18.05126,15.76098099,4.984059809
S,30,WP,SF,83.3333333,10,2,18.05126,15.76098099,4.984059809
S,31,WP,SF,83.3333333,10,2,18.05126,15.76098099,4.984059809
S,32,WP,SF,83.3333333,10,2,18.05126,15.76098099,4.984059809
S,33,WP,SF,83.3333333,10,2,18.05126,15.76098099,4.984059809
S,34,WP,SF,83.3333333,10,2,18.05126,15.76098099,4.984059809
S,35,WP,SF,83.3333333,10,2,18.05126,15.76098099,4.984059809
S,36,WP,SF,83.3333333,10,2,18.05126,15.76098099,4.984059809
S,37,WP,SF,83.3333333,10,2,18.05126,15.76098099,4.984059809
S,38,WP,SF,83.3333333,10,2,18.05126,15.76098099,4.984059809
S,39,WP,SF,83.3333333,10,2,18.05126,15.76098099,4.984059809
S,40,WP,SF,83.3333333,10,2,18.05126,15.76098099,4.984059809
S,41,WP,SF,75,9,3,14.46925556,11.62383688,3.874612294
S,42,WP,SF,75,9,3,14.46925556,11.62383688,3.874612294
S,43,WP,SF,75,9,3,14.46925556,11.62383688,3.874612294
S,44,WP,SF,66.6666667,8,4,15.23645,12.18037288,4.306412129
S,45,WP,SF,66.6666667,8,4,15.23645,12.18037288,4.306412129
S,46,WP,SF,66.6666667,8,4,15.23645,12.18037288,4.306412129
S,47,WP,SF,66.6666667,8,4,15.23645,12.18037288,4.306412129
S,48,WP,SF,66.6666667,8,4,15.23645,12.18037288,4.306412129
S,49,WP,SF,66.6666667,8,4,15.23645,12.18037288,4.306412129
S,50,WP,SF,66.6666667,8,4,15.23645,12.18037288,4.306412129
S,51,WP,SF,66.6666667,8,4,15.23645,12.18037288,4.306412129
S,52,WP,SF,66.6666667,8,4,15.23645,12.18037288,4.306412129
S,53,WP,SF,66.6666667,8,4,15.23645,12.18037288,4.306412129
S,54,WP,SF,66.6666667,8,4,15.23645,12.18037288,4.306412129
S,55,WP,SF,66.6666667,8,4,15.23645,12.18037288,4.306412129
S,56,WP,SF,58.3333333,7,5,13.05845714,11.34963892,4.289760295
S,57,WP,SF,58.3333333,7,5,13.05845714,11.34963892,4.289760295
S,58,WP,SF,58.3333333,7,5,13.05845714,11.34963892,4.289760295
S,59,WP,SF,58.3333333,7,5,13.05845714,11.34963892,4.289760295
S,60,WP,SF,58.3333333,7,5,13.05845714,11.34963892,4.289760295
S,61,WP,SF,58.3333333,7,5,13.05845714,11.34963892,4.289760295
S,62,WP,SF,58.3333333,7,5,13.05845714,11.34963892,4.289760295
S,63,WP,SF,58.3333333,7,5,13.05845714,11.34963892,4.289760295
S,64,WP,SF,58.3333333,7,5,13.05845714,11.34963892,4.289760295
S,65,WP,SF,58.3333333,7,5,13.05845714,11.34963892,4.289760295
S,66,WP,SF,58.3333333,7,5,13.05845714,11.34963892,4.289760295
S,67,WP,SF,58.3333333,7,5,13.05845714,11.34963892,4.289760295
S,68,WP,SF,58.3333333,7,5,13.05845714,11.34963892,4.289760295
S,69,WP,SF,58.3333333,7,5,13.05845714,11.34963892,4.289760295
S,70,WP,SF,58.3333333,7,5,13.05845714,11.34963892,4.289760295
S,71,WP,SF,58.3333333,7,5,13.05845714,11.34963892,4.289760295
S,72,WP,SF,58.3333333,7,5,13.05845714,11.34963892,4.289760295
S,73,WP,SF,58.3333333,7,5,13.05845714,11.34963892,4.289760295
S,74,WP,SF,58.3333333,7,5,13.05845714,11.34963892,4.289760295
S,75,WP,SF,58.3333333,7,5,13.05845714,11.34963892,4.289760295
S,76,WP,SF,58.3333333,7,5,13.05845714,11.34963892,4.289760295
S,77,WP,SF,58.3333333,7,5,13.05845714,11.34963892,4.289760295
S,78,WP,SF,58.3333333,7,5,13.05845714,11.34963892,4.289760295
S,79,WP,SF,58.3333333,7,5,13.05845714,11.34963892,4.289760295
S,80,WP,SF,58.3333333,7,5,13.05845714,11.34963892,4.289760295
S,81,WP,SF,58.3333333,7,5,13.05845714,11.34963892,4.289760295
S,82,WP,SF,58.3333333,7,5,13.05845714,11.34963892,4.289760295
S,83,WP,SF,58.3333333,7,5,13.05845714,11.34963892,4.289760295
S,1,HA,NC,100,12,0,33.26019167,30.07609938,8.682222037
S,2,HA,NC,100,12,0,33.26019167,30.07609938,8.682222037
S,3,HA,NC,100,12,0,33.26019167,30.07609938,8.682222037
S,4,HA,NC,100,12,0,33.26019167,30.07609938,8.682222037
S,5,HA,NC,100,12,0,33.26019167,30.07609938,8.682222037
S,6,HA,NC,100,12,0,33.26019167,30.07609938,8.682222037
S,7,HA,NC,100,12,0,33.26019167,30.07609938,8.682222037
S,8,HA,NC,100,12,0,33.26019167,30.07609938,8.682222037
S,9,HA,NC,100,12,0,33.26019167,30.07609938,8.682222037
S,10,HA,NC,100,12,0,33.26019167,30.07609938,8.682222037
S,11,HA,NC,100,12,0,33.26019167,30.07609938,8.682222037
S,12,HA,NC,100,12,0,33.26019167,30.07609938,8.682222037
S,13,HA,NC,100,12,0,33.26019167,30.07609938,8.682222037
S,14,HA,NC,100,12,0,33.26019167,30.07609938,8.682222037
S,15,HA,NC,100,12,0,33.26019167,30.07609938,8.682222037
S,16,HA,NC,100,12,0,33.26019167,30.07609938,8.682222037
S,17,HA,NC,100,12,0,33.26019167,30.07609938,8.682222037
S,18,HA,NC,100,12,0,33.26019167,30.07609938,8.682222037
S,19,HA,NC,100,12,0,33.26019167,30.07609938,8.682222037
S,20,HA,NC,100,12,0,33.26019167,30.07609938,8.682222037
S,21,HA,NC,100,12,0,33.26019167,30.07609938,8.682222037
S,22,HA,NC,100,12,0,33.26019167,30.07609938,8.682222037
S,23,HA,NC,100,12,0,33.26019167,30.07609938,8.682222037
S,24,HA,NC,100,12,0,33.26019167,30.07609938,8.682222037
S,25,HA,NC,100,12,0,33.26019167,30.07609938,8.682222037
S,26,HA,NC,100,12,0,33.26019167,30.07609938,8.682222037
S,27,HA,NC,100,12,0,33.26019167,30.07609938,8.682222037
S,28,HA,NC,100,12,0,33.26019167,30.07609938,8.682222037
S,29,HA,NC,100,12,0,33.26019167,30.07609938,8.682222037
S,30,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,31,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,32,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,33,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,34,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,35,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,36,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,37,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,38,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,39,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,40,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,41,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,42,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,43,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,44,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
