SDN,pH_1,pH_2,pH_3,pH_4,pH_5,pH_6,pH_7,pH_8,pH_9,pH_10,pH_11,pH_12,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,TC_9,TC_10,TC_11,TC_12,QF_pH_1,QF_pH_2,QF_pH_3,QF_pH_4,QF_pH_5,QF_pH_6,QF_pH_7,QF_pH_8,QF_pH_9,QF_pH_10,QF_pH_11,QF_pH_12,QF_TC_1,QF_TC_2,QF_TC_3,QF_TC_4,QF_TC_5,QF_TC_6,QF_TC_7,QF_TC_8,QF_TC_9,QF_TC_10,QF_TC_11,QF_TC_12
738185.208368056,7.87967024998366,7.56658175596079,7.93371374830644,7.71481026197313,7.77199699737982,7.75647000174008,7.83945200316333,7.56658725173883,7.77909674580192,8.02468474138633,14,7.97465750083232,15.5109702552039,11.5197410285655,15.6324217596019,11.9239875588636,18.8600700355058,9.21954149672854,19.376642782062,11.0848587418993,18.5874067648825,9.45139099956749,15.5946302524027,9.35009575140942,1,1,1,1,1,4,4,1,4,4,4,4,1,4,1,1,1,1,1,1,1,1,1,1
738185.229201389,7.87463049662796,7.49821476375597,7.92207625165836,7.73450524479861,7.80996875088136,7.745483755996,7.83107424266625,7.62065551347559,7.85650325093919,8.02140900516493,14,7.97029549253424,15.7945460053812,11.159564033137,15.9172947524505,12.2352237613671,19.7386624854582,9.41043650252212,19.2337339717412,11.3481150275446,19.0565687346473,9.82372824960647,15.873811504921,9.70256849829261,1,4,1,4,4,4,1,4,4,4,4,4,1,4,1,4,1,1,1,1,1,1,1,1
738185.250034722,7.873493,7.4828085,7.9298495,7.659926,7.799478,7.7589965,7.7903655,7.6580475,7.809656,8.0309155,14,7.9841715,15.641289,10.728794,15.779423,11.6557065,19.092737,9.176056,19.0557825,11.3787805,18.652729,9.429966,15.730999,9.32719,1,4,1,4,1,4,1,4,4,4,4,4,1,4,1,4,4,4,1,4,4,1,1,1
738185.270868056,7.87732700169985,7.8740150070056,7.92476100840118,7.93088099131467,7.82189200338713,7.9288639897154,7.85897499494571,7.95512197785165,7.88196801503463,8.036862989733,14,8.01312099002218,15.6019859961426,8.88679099491554,15.7406769912141,11.3011550155602,18.329841993178,9.2077139957026,18.2736359991652,10.3758579939776,18.1220250098596,9.79973198801052,15.7069049929114,9.68787000230335,1,4,1,4,4,4,4,4,4,4,4,4,1,4,1,1,1,1,1,4,1,1,1,1
738185.291701389,7.877927,7.965848,7.923013,7.975014,7.838549,7.977324,7.86681,8.005594,7.900527,8.040283,14,8.024096,15.435913,8.844776,15.582352,11.251095,18.348072,9.032154,18.305653,10.331791,18.14938,9.392673,15.5135,9.26894,1,4,1,4,1,4,1,4,4,4,4,4,1,4,1,1,1,1,1,4,1,1,1,1
738185.312534722,7.878773,7.970133,7.928247,7.971501,7.839458,7.9836,7.866467,8.013838,7.894065,8.040413,14,8.018553,15.577328,8.816444,15.712048,11.266781,18.273483,9.174717,18.236828,10.309292,18.083046,9.760532,15.651085,9.651638,1,4,1,4,1,4,1,4,4,4,4,4,1,4,1,4,1,1,1,4,1,1,1,1
738185.333368056,7.8735174999824,7.79426298950418,7.92050398668786,7.89789399653492,7.82721800502914,7.98016850171242,7.834412989992,7.99444845225582,7.86795599833032,8.037649001725,14,8.01189700000503,15.5415495046796,8.87290750539879,15.6724054904069,11.3125590042697,18.4434204997712,9.09214599845605,18.4062384992884,10.380229996203,18.2488704982926,9.46383299773689,15.6074539835296,9.34048099681655,1,4,1,4,4,4,1,4,4,4,4,4,4,4,4,4,4,1,4,1,1,4,4,4
738185.354201389,7.85762,7.544509,7.9079205,7.6423755,7.7743725,7.9158145,7.8347385,7.595085,7.793096,7.9234285,14,7.90221,16.6187895,10.4491005,16.708065,10.644646,19.348196,9.229988,19.3257735,10.15131,18.37685,9.454243,16.6690235,9.4065515,1,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,1,4,1,1,4,1
738185.375034722,7.85297235222775,7.63116926022165,7.89706584031182,7.62558432949511,7.76712958938289,7.79082679488026,7.79734675811758,7.60230344204559,7.83066812670192,7.80726430714011,14,7.84478690865135,16.2383578618508,11.7877215460523,16.3670987933562,11.243321794125,18.6751235655343,9.39033806809001,18.4894951148769,10.7595652132457,18.4095404129402,9.44180351980928,16.3063461687684,9.37930196125469,1,1,1,4,4,4,1,4,1,1,4,4,1,4,1,4,1,1,1,4,1,1,1,1
738185.395868056,7.85069366120894,7.63870562274549,7.90439587144921,7.60566189500336,7.79278140467898,7.8381813136138,7.83134816351306,7.64033869922382,7.77682806894759,7.8239345049827,14,7.83346291862808,16.3193970418186,11.7798869845133,16.4524746548113,11.2812097265958,19.1863654894092,9.36540926884843,18.8272641378661,11.0958706445151,18.3516963676539,9.48467163921439,16.4146368410811,9.45208705987137,1,1,1,1,4,4,1,1,1,1,4,1,1,4,1,4,1,1,1,4,1,1,1,1
