Num,POP,Site,Bin,Header,Trt,Sample ID,WetWtI,BuoyWtI,LengthI,WidthI,WetWtF,BuoyWtF,LengthF,WidthF,Disease,Grazing,VTYPE,RUN,CS,Time,DO (mg/L),Temp,Time,DO (mg/L),Temp,Time,DO (mg/L),Temp,Time,DO (mg/L),Temp,Time,DO (mg/L),Temp,Time,DO (mg/L),Temp,Time,DO (mg/L),Temp,Problem,CF,SpineLoss,Gfoil,Sfoil,Ganimal,Sanimal,G_AFDW,S_AFDW,Time,Status
30,SOUTH,HA,3A,3,SC,HA_SC6,60.8785,10.8744,29,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,1
31,SOUTH,HA,3B,3,SC,HA_SC7,1.8468,0.279,8,18,4.2229,0.6562,13,22,N,0.736,S,3,S,13:40,9.65,16,13:44,9.4,16.1,13:47,9.27,16.1,13:50,9.12,16.1,13:54,8.99,16.1,13:57,8.9,16.1,14:00,8.8,16.1,G,C,N,0.703,1.8871,0.7213,3.166,0.7063,2.9603,83,0
32,SOUTH,HA,3B,3,SC,HA_SC8,49.1574,7.7377,27,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,1
33,SOUTH,HA,11A,11,SC,HA_SC9,15.5432,2.308,19,37,17.0677,2.2774,18,36,N,1.607,L,3,S,13:41,9.9,16,13:44,9.67,16.1,13:48,9.49,16.1,13:51,9.31,16.1,13:55,9.18,16.1,13:58,9.01,16.1,14:01,8.94,16.1,G,C,N,0.6952,1.9095,0.7236,6.9147,0.7045,6.2456,83,0
34,SOUTH,HA,11A,11,SC,HA_SC10,3.5321,0.5582,10,23,5.0094,0.8284,12,24,N,0.957,S,3,S,13:40,9.7,16,13:44,9.49,16.1,13:47,9.37,16.1,13:51,9.24,16.1,13:55,9.07,16.1,13:58,8.95,16.1,14:01,8.81,16.1,G,C,Y,0.8006,1.9936,0.8188,3.5683,0.8029,3.3174,83,0
35,SOUTH,HA,11B,11,SC,HA_SC11,96.6485,15.4032,29,64,98.5619,15.4937,31,66,N,1.362,,,,,,,,,,,,,,,,,,,,,,,,,,C,N,0.7537,1.9023,1.2031,29.4266,0.8309,26.4346,83,0
36,SOUTH,HA,11B,11,SC,HA_SC12,48.7412,8.4053,26,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,1
37,SOUTH,HA,5A,5,SF,HA_SF1,13.2753,2.1538,15,32,14.0239,2.3158,17,36,N,1.949,L,4,S,14:24,7.71,18.5,14:28,7.55,18.5,14:31,7.45,18.5,14:34,7.35,18.5,14:37,7.29,18.5,14:39,7.23,18.5,14:43,7.14,18.5,G,F,N,0.6665,1.9987,0.6748,6.2176,0.6699,5.6797,83,0
38,SOUTH,HA,5A,5,SF,HA_SF2,5.2782,0.8849,12,25,5.8356,1.0477,14,25,N,0.891,S,4,S,14:21,7.58,18.3,14:24,7.33,18.5,14:29,7.16,18.5,14:32,7.04,18.5,14:34,6.97,18.5,14:37,6.86,18.5,14:41,6.75,18.5,G,F,N,0.7361,2.0122,0.7652,3.9807,0.7409,3.6995,83,0
39,SOUTH,HA,5B,5,SF,HA_SF3,25.12,4.0556,19,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,1
40,SOUTH,HA,5B,5,SF,HA_SF4,58.4203,9.4139,25,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1
41,SOUTH,HA,7A,7,SF,HA_SF5,76.6449,13.2303,28,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7866,1.8437,1.171,25.4384,0.8331,23.0362,83,0
42,SOUTH,HA,7A,7,SF,HA_SF6,59.3617,9.6233,30,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,1
43,SOUTH,HA,7B,7,SF,HA_SF7,41.613,5.9065,30,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,1
44,SOUTH,HA,7B,7,SF,HA_SF8,90.0001,13.5982,31,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1
45,SOUTH,HA,9A,9,SF,HA_SF9,3.8585,0.6955,11,22,5.9332,1.0696,13,24,N,0.114,S,4,S,14:23,7.78,18.4,14:26,7.6,18.5,14:30,7.49,18.6,14:32,7.33,18.5,14:35,7.1,18.5,14:38,6.98,18.5,14:42,6.82,18.5,G,F,N,0.7783,1.581,0.7988,3.5866,0.7892,3.3259,83,0
46,SOUTH,HA,9A,9,SF,HA_SF10,42.9619,7.3186,28,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,1
47,SOUTH,HA,9B,9,SF,HA_SF11,1.9166,0.3468,10,17,3.3041,0.5665,10,19,N,0.081,S,4,S,14:23,7.94,18.4,14:27,7.7,18.5,14:30,7.58,18.5,14:33,7.48,18.5,14:36,7.43,18.5,14:38,7.34,18.5,14:42,7.17,18.5,G,F,N,0.6911,1.6628,0.7382,2.8155,0.702,2.618,83,0
48,SOUTH,HA,9B,9,SF,HA_SF12,3.6754,0.556,10,22,6.0508,0.9994,13,24,N,0.447,S,4,S,14:23,7.88,18.4,14:27,7.63,18.5,14:31,7.53,18.5,14:33,7.36,18.5,14:36,7.19,18.5,14:39,7.04,18.5,14:43,6.87,18.5,G,F,N,0.7354,1.8761,0.7606,3.8769,0.7441,3.5842,83,0
49,SOUTH,PV,6A,6,NC,PV_NC1,14.7622,2.388,21,34,15.8172,2.7427,20,37,N,0.575,L,5,S,11:44,9.04,10.7,11:49,8.75,10.7,11:53,8.62,10.7,11:58,8.47,10.7,12:04,8.26,10.6,12:10,7.98,10.6,12:13,7.85,10.6,M,C,N,0.7174,1.8497,0.7431,6.8749,0.7246,6.1956,83,0
50,SOUTH,PV,6A,6,NC,PV_NC2,41.6094,7.4963,25,47,43.2958,7.7233,24,49,N,0.383,L,5,S,11:44,8.17,10.7,11:49,7.85,10.7,11:53,7.61,10.7,11:58,7.37,10.7,12:04,7.12,10.6,12:10,6.94,10.6,12:13,6.83,10.6,G,C,N,0.7569,1.4239,0.8588,15.1883,0.7718,13.7023,83,0
51,SOUTH,PV,6B,6,NC,PV_NC3,94.526,18.4932,28,58,95.5171,18.3463,29,60,N,0.888,,,,,,,,,,,,,,,,,,,,,,,,,,C,N,0.7335,1.468,1.0394,33.7566,0.7808,30.2489,83,0
52,SOUTH,PV,6B,6,NC,PV_NC4,11.2587,1.8029,18,33,13.4749,2.3025,17,34,N,1.392,S,5,S,11:42,9.01,10.7,11:47,8.6,10.7,11:51,8.31,10.7,11:56,8.06,10.7,12:02,7.6,10.6,12:06,7.44,10.6,12:12,7.16,10.6,G,C,Y,0.7193,1.4751,0.7629,5.7276,0.7302,5.1528,83,0
53,SOUTH,PV,10A,10,NC,PV_NC5,10.54371,1.8551,17,31,13.7947,2.3526,18,35,N,1.151,L,5,S,11:45,8.95,10.7,11:50,8.66,10.7,11:54,8.48,10.7,11:58,8.3,10.7,12:04,8.11,10.6,12:10,7.97,10.6,12:14,7.89,10.6,G,C,N,0.7027,1.443,0.7914,5.7825,0.7183,5.1693,83,0
54,SOUTH,PV,10A,10,NC,PV_NC6,11.5106,1.959,14,31,14.8546,2.5038,20,34,N,0.995,L,5,S,11:45,9.39,10.7,11:50,9.09,10.7,11:54,8.92,10.7,12:01,8.64,10.7,12:05,8.48,10.6,12:11,8.33,10.6,12:14,8.22,10.6,G,C,N,0.7119,1.1618,0.761,5.7977,0.7233,5.1243,83,0
55,SOUTH,PV,10B,10,NC,PV_NC7,18.5283,2.785,19,47,20.5973,3.2856,19,38,N,1.917,L,5,S,11:45,9.46,10.7,11:50,9.12,10.7,11:55,8.83,10.7,12:01,8.56,10.6,12:05,8.37,10.6,12:11,8.21,10.6,12:15,8.07,10.6,G,C,N,0.7067,1.4506,0.7352,7.5352,0.7182,6.6944,83,0
56,SOUTH,PV,10B,10,NC,PV_NC8,55.8957,10.0023,26,46,53.7454,10.0804,25,52,N,0.417,,,,,,,,,,,,,,,,,,,,,,,,,,C,N,0.6614,1.5039,0.7492,18.9822,0.6909,17.1812,83,0
57,SOUTH,PV,12A,12,NC,PV_NC9,13.17,2.1781,15,33,14.8788,2.5168,18,34,N,1.324,L,5,S,11:46,9.73,10.7,11:51,9.38,10.7,11:55,9.15,10.7,12:02,8.84,10.6,12:05,8.71,10.6,12:11,8.5,10.6,12:15,8.37,10.6,G,C,N,0.7515,1.4974,0.8196,6.0994,0.7625,5.4765,83,0
58,SOUTH,PV,12A,12,NC,PV_NC10,88.67,13.9953,33,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8028,1.5115,1.0261,27.2026,0.8494,24.2536,83,0
59,SOUTH,PV,12B,12,NC,PV_NC11,24.6886,4.2919,22,40,26.7939,4.6987,22,43,N,0.596,L,5,S,11:46,9.53,10.7,11:51,9.06,10.7,11:55,8.73,10.7,12:02,8.37,10.6,12:05,8.21,10.6,12:11,7.97,10.6,12:15,7.86,10.6,M,C,Y,0.7374,1.5266,0.8264,9.9332,0.7582,8.9119,83,0
60,SOUTH,PV,2A,2,NF,PV_NF1,29.5248,5.7125,20,39,28.3354,5.3948,21,43,N,0.234,L,6,S,12:40,4.63,12.9,12:45,4.52,12.9,12:49,4.42,13,12:53,4.3,13,12:57,4.22,13,13:00,4.13,13,13:03,4.08,13,G,F,N,0.5602,1.5748,0.5751,11.0745,0.5665,10.1683,83,0
61,SOUTH,PV,2A,2,NF,PV_NF2,20.2343,3.4485,22,38,21.2278,3.6352,14,38,N,0.325,L,6,S,12:41,4.61,12.9,12:45,4.49,13,12:50,4.37,13,12:54,4.26,13,12:57,4.18,13,13:01,4.08,13,13:04,4.01,13,G,F,N,0.6245,1.5675,0.6655,8.1153,0.6326,7.3152,83,0
62,SOUTH,PV,2B,2,NF,PV_NF3,69.1488,12.4057,27,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1
63,SOUTH,PV,2B,2,NF,PV_NF4,10.6801,1.7343,17,33,11.0989,1.9103,16,33,N,0.702,S,6,S,12:39,5.13,12.9,12:43,4.9,12.9,12:48,4.66,13,12:52,4.45,13,12:56,4.3,13,12:59,4.14,13,13:03,3.99,13,G,F,Y,0.6137,1.4559,0.6476,4.9685,0.623,4.5258,83,0
64,SOUTH,PV,4A,4,NF,PV_NF5,8.4526,1.3238,16,30,9.0689,1.503,15,27,N,0.667,S,6,S,12:40,5.23,12.9,12:44,5.04,12.9,12:48,4.86,13,12:53,4.72,13,12:56,4.62,13,12:59,4.52,13,13:03,4.43,13,G,F,N,0.6403,1.4745,0.6523,4.2788,0.6452,3.8942,83,0
65,SOUTH,PV,4A,4,NF,PV_NF6,21.6933,3.6158,20,39,22.5924,3.8331,20,40,N,0.27,L,6,S,12:41,4.95,12.9,12:45,4.8,13,12:50,4.64,13,12:54,4.5,13,12:57,4.39,13,13:01,4.29,13,13:04,4.21,13,G,F,Y,0.6603,1.6163,0.6986,8.2449,0.6739,7.4251,83,0
66,SOUTH,PV,4B,4,NF,PV_NF7,22.2142,4.4368,20,39,22.2778,4.4678,19,38,N,0.299,L,6,S,12:41,5.32,12.9,12:46,5.15,13,12:51,4.99,13,12:54,4.86,13,12:57,4.75,13,13:01,4.65,13,13:04,4.57,13,M,F,N,0.7132,1.6249,0.7323,9.5233,0.7243,8.6997,83,0
67,SOUTH,PV,4B,4,NF,PV_NF8,38.7317,7.3618,27,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1
68,SOUTH,PV,8A,8,NF,PV_NF9,90.3174,15.8041,31,62,87.8103,14.8656,27,63,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,F,N,0.712,1.1832,1.6825,27.4062,0.8656,24.6925,83,0
69,SOUTH,PV,8A,8,NF,PV_NF10,7.0639,1.132,16,29,8.722,1.3681,16,27,N,0.447,L,6,S,12:42,5.56,12.9,12:46,5.42,13,12:51,5.29,13,12:54,5.2,13,12:58,5.12,13,13:01,5.06,13,13:05,4.99,13,G,F,N,0.6747,1.4757,0.7017,4.0525,0.6806,3.6636,83,0
70,SOUTH,PV,8B,8,NF,PV_NF11,24.4917,4.7402,21,45,23.6044,4.7549,20,38,N,0.306,L,6,S,12:42,5.54,12.9,12:47,5.33,13,12:51,5.14,13,12:55,4.94,13,12:58,4.81,13,13:02,4.71,13,13:05,4.58,13,M,F,Y,0.7231,1.4961,0.8095,9.9207,0.7368,9.0225,83,0
71,SOUTH,PV,1A,1,SC,PV_SC1,33.128,5.979,22,45,31.1435,5.6305,21,45,N,0.919,L,7,S,14:02,8.8,15.9,14:07,8.63,15.9,14:11,8.39,15.9,14:16,8.16,15.9,14:21,7.95,15.9,14:26,7.75,15.9,14:29,7.62,15.9,G,C,N,0.6153,1.5299,0.6286,11.069,0.6219,10.2486,83,0
72,SOUTH,PV,1A,1,SC,PV_SC2,38.755,7.8771,22,49,35.1583,6.989,20,45,N,0.232,L,7,S,14:03,8.77,15.9,14:07,8.55,15.9,14:11,8.32,15.9,14:17,8.02,15.9,14:22,7.76,15.9,14:27,7.57,15.9,14:29,7.47,15.9,M,C,N,0.629,1.4674,0.6465,13.3412,0.6387,12.342,83,0
73,SOUTH,PV,1B,1,SC,PV_SC3,78.5906,13.0888,34,59,78.9677,13.0984,30,60,N,,,,,,,,,,,,,,,,,,,,,,,,,,,C,Y,0.6269,1.5085,1.1893,25.7792,0.6995,22.9383,83,0
74,SOUTH,PV,1B,1,SC,PV_SC4,7.7825,1.3677,16,27,9.3431,1.6717,14,29,N,1.472,S,7,S,14:01,9.94,15.9,14:05,9.62,15.9,14:09,9.24,15.9,14:15,8.77,15.9,14:19,8.61,15.9,14:25,8.24,15.9,14:28,8.02,15.9,G,C,N,0.6179,1.5983,0.6515,4.6279,0.6227,4.2557,83,0
75,SOUTH,PV,3A,3,SC,PV_SC5,10.1645,1.7991,17,30,11.3335,2.0606,17,31,N,1.577,S,7,S,14:02,9.87,15.9,14:05,9.49,15.9,14:10,9.11,15.9,14:15,8.64,15.9,14:20,8.35,15.9,14:25,8.06,15.9,14:28,7.87,15.9,G,C,N,0.7339,1.6046,0.755,5.3367,0.7414,4.8771,83,0
76,SOUTH,PV,3A,3,SC,PV_SC6,31.0803,5.4005,17,44,30.1665,5.3009,21,44,N,0.427,L,7,S,14:03,9.19,15.9,14:07,8.89,15.9,14:13,8.59,15.9,14:17,8.35,15.9,14:22,8.1,15.9,14:27,7.93,15.9,14:30,7.77,15.9,M,C,N,0.6742,1.5539,0.6899,10.9255,0.6818,10.0075,83,0
77,SOUTH,PV,3B,3,SC,PV_SC7,62.9065,11.4665,31,51,63.0837,11.6644,28,54,N,,,,,,,,,,,,,,,,,,,,,,,,,,,C,N,0.702,1.635,0.9356,22.0997,0.7416,20.066,83,0
78,SOUTH,PV,3B,3,SC,PV_SC8,11.7575,1.9839,16,31,13.172,2.2693,19,34,N,1.359,S,7,S,14:02,9.66,15.9,14:06,9.23,15.9,14:10,8.89,15.9,14:15,8.43,15.9,14:20,8.07,15.9,14:26,7.76,15.9,14:29,7.6,15.9,G,C,Y,0.6322,1.4545,0.6903,5.5699,0.6465,5.0425,83,0
79,SOUTH,PV,11A,11,SC,PV_SC9,91.4184,17.6567,28,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1
80,SOUTH,PV,11A,11,SC,PV_SC10,84.7527,13.6274,33,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6283,1.3893,0.7705,26.0418,0.661,23.5886,83,0
81,SOUTH,PV,5A,5,SF,PV_SF1,10.5321,1.893,13,30,11.3165,1.9652,19,30,N,1.962,S,8,S,14:51,7.26,18.3,14:54,6.97,18.5,14:58,6.66,18.5,15:02,6.37,18.5,15:05,6.19,18.5,15:07,5.95,18.5,15:11,5.78,18.5,G,F,N,0.647,1.4467,0.6743,5.0828,0.6561,4.6001,83,0
82,SOUTH,PV,5A,5,SF,PV_SF2,87.7213,16.4789,30,57,80.9482,13.7216,28,58,Y,1.904,,,,,,,,,,,,,,,,,,,,,,,,,,F,N,0.6248,1.6426,0.7614,25.1537,0.6537,22.938,83,0
83,SOUTH,PV,5B,5,SF,PV_SF3,8.1985,1.491,13,29,9.0049,1.6115,14,28,N,0.93,S,8,S,14:51,7.66,18.4,14:55,7.39,18.5,14:58,7.11,18.5,15:03,6.91,18.5,15:05,6.76,18.5,15:08,6.63,18.5,15:12,6.46,18.5,G,F,N,0.6231,1.6585,0.6361,4.5809,0.632,4.2133,83,0
84,SOUTH,PV,5B,5,SF,PV_SF4,62.9479,11.7995,26,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1
85,SOUTH,PV,7A,7,SF,PV_SF5,33.4227,5.2419,25,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,1
86,SOUTH,PV,7A,7,SF,PV_SF6,16.0134,2.7925,19,35,16.0204,2.7807,19,33,N,0.403,S,8,S,14:52,7.73,18.4,14:55,7.48,18.5,14:59,7.27,18.5,15:03,7.01,18.5,15:05,6.88,18.5,15:08,6.68,18.5,15:12,6.47,18.5,G,F,N,0.6615,1.6762,0.6775,6.5957,0.6714,6.1015,83,0
87,SOUTH,PV,7B,7,SF,PV_SF7,12.3767,1.9412,18,32,11.6795,1.8009,17,32,Y,0.451,S,8,S,14:52,7.81,18.5,14:57,7.52,18.5,15:00,7.35,18.5,15:04,7.16,18.5,15:06,7.05,18.5,15:09,6.92,18.5,15:13,6.79,18.5,G,F,N,0.6234,1.6852,0.6335,4.9542,0.6294,4.6158,83,0
88,SOUTH,PV,7B,7,SF,PV_SF8,16.9981,2.9103,17,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,1
89,SOUTH,PV,9A,9,SF,PV_SF9,65.9165,11.3719,29,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,1
